keyword_1,keyword_2,weight
bardo,death,12
death,mind,11
bardo,becoming,8
birth,death,7
awareness,mind,7
bardo,mind,6
appearances,bardo,6
bardo,liberation,6
awareness,bardo,6
consciousness,death,5
appearance,consciousness,5
bardo,birth,5
bardo,dying,4
awareness,death,4
bardo,clear light,4
appearance,appearances,4
clear light,death,4
appearances,awareness,4
death,dying,4
death,dissolution,4
clear light,mind,4
bardo,rebirth,4
bardo,dissolution,3
deceased,mind,3
awareness,consciousness,3
awareness,clear light,3
dissolution,dying,3
becoming,liberation,3
becoming,rebirth,3
bardo,recognize,3
peaceful,wrathful,3
liberation,recognize,2
becoming,death,2
appearance,bardo,2
birth,dying,2
becoming,birth,2
appearances,consciousness,2
consciousness,mind,2
appearance,dissolution,2
dead,death,2
liberation,mind,2
death,karma,2
appearances,becoming,2
clear light,recognition,2
appearances,mind,2
bardo,liberated,2
clear light,dissolution,2
death,liberated,2
appearances,death,2
appearances,liberation,2
consciousness,dissolution,2
awareness,birth,2
death,liberation,2
bardo,consciousness,2
bardo,recognition,2
appearance,death,2
appearances,rigpa,2
clear light,recognize,2
birth,mind,2
becoming,karma,2
bardo,karma,2
appearances,clear light,2
awareness,dying,2
appearances,recognize,2
karma,rebirth,2
awareness,karma,1
consciousness,dead,1
appearances,dead,1
awareness,wrathful,1
appearance,dead,1
consciousness,enlightenment,1
death,deceased,1
awakening,bardo,1
dead,deceased,1
bardo,peaceful,1
birth,deceased,1
birth,dead,1
bardo,wrathful,1
deceased,liberation,1
awareness,rigpa,1
bardo,enlightenment,1
appearances,deceased,1
consciousness,deceased,1
becoming,enlightenment,1
becoming,mind,1
clear light,consciousness,1
karma,mind,1
mind,recognition,1
awareness,peaceful,1
liberated,recognize,1
liberation,rebirth,1
liberated,liberation,1
appearances,liberated,1
karma,liberation,1
death,rebirth,1
bardo,realization,1
appearance,mind,1
consciousness,dying,1
birth,consciousness,1
birth,rebirth,1
becoming,recognition,1
becoming,clear light,1
appearances,recognition,1
awareness,dissolution,1
appearances,dissolution,1
appearance,awareness,1
clear light,realization,1
appearances,birth,1
enlightenment,mind,1
mind,realization,1
liberation,recognition,1
awakening,mind,1
death,recognition,1
enlightenment,rigpa,1
clear light,liberation,1
mind,rebirth,1
birth,recognize,1
dissolution,mind,1
appearance,clear light,1
awakening,recognize,1
awakening,rigpa,1
awakening,wrathful,1
birth,dissolution,1
becoming,dying,1
becoming,dissolution,1
clear light,enlightenment,1
clear light,peaceful,1
birth,liberation,1
awakening,enlightenment,1
becoming,recognize,1
clear light,rigpa,1
clear light,wrathful,1
enlightenment,peaceful,1
enlightenment,recognize,1
rigpa,wrathful,1
recognize,wrathful,1
recognize,rigpa,1
peaceful,rigpa,1
peaceful,recognize,1
awakening,peaceful,1
awakening,clear light,1
enlightenment,wrathful,1
becoming,liberated,1
awareness,recognition,1
awareness,liberation,1
birth,rigpa,1
dying,liberated,1
dissolution,liberated,1
death,rigpa,1
clear light,liberated,1
clear light,dying,1
mind,rigpa,1
birth,clear light,1
appearances,awakening,1
appearances,wrathful,1
mind,wrathful,1
mind,peaceful,1
death,wrathful,1
death,peaceful,1
death,recognize,1
appearances,enlightenment,1
appearances,rebirth,1
appearances,peaceful,1
appearance,rebirth,1
appearance,becoming,1
enlightenment,liberation,1
