word,count
death,46
mind,44
bardo,39
dissolves,35
body,32
pure,29
time,28
clear,27
light,25
awareness,24
life,22
perception,22
wisdom,20
luminosity,19
experience,17
sign,17
state,17
space,16
inner,16
consciousness,16
water,15
appearances,15
wind,15
ground,15
element,15
appearance,14
arise,14
moment,13
dharmatā,13
cultivate,13
subtle,13
heart,13
natural,13
nature,13
great,13
amitābha,12
form,12
earth,12
beings,12
dharmakāya,11
path,11
any,11
dissolution,11
birth,11
single,11
dissolve,11
meditation,11
elements,10
arises,10
sky,10
fire,10
instant,10
outer,10
instructions,9
realms,9
supreme,9
place,9
following,9
presence,9
buddha,9
realm,9
mother,9
take,9
primordial,9
vase,9
guru,9
kyema,8
dying,8
spontaneous,8
delusion,8
out,8
increase,8
comes,8
self,8
becoming,8
next,8
liberation,8
ordinary,8
very,8
abandon,8
recognise,8
deceased,8
attachment,8
dawning,7
instead,7
days,7
rebirth,7
again,7
things,7
itself,7
luminous,7
power,7
visions,7
pray,7
buddhas,7
refuge,7
white,7
liberated,7
compassion,7
yourself,7
must,7
world,6
intermediate,6
view,6
lights,6
naturally,6
only,6
sentient,6
phenomena,6
thoughts,6
noble,6
gain,6
pass,6
once,6
land,6
attain,6
dharma,6
lord,6
dawns,6
become,6
clarity,6
coloured,6
thought,6
point,6
actions,6
attainment,6
way,6
strength,6
means,6
fade,6
other,6
person,5
essence,5
deity,5
yidam,5
familiarity,5
child,5
lotus,5
end,5
objects,5
speech,5
make,5
red,5
hūṃ,5
suffering,5
truth,5
syllable,5
sukhāvatī,5
expression,5
gurus,5
consider,5
mindfulness,5
genuine,5
blessed,5
dry,5
coarse,5
appear,5
basis,5
continues,5
bodhicitta,5
energy,5
union,5
youthful,5
turn,5
sound,5
lives,5
saṃbhogakāya,5
recognition,5
various,5
virtuous,5
process,5
weak,5
name,5
every,5
die,5
support,5
negative,5
stages,5
sense,5
having,5
free,5
complete,5
distraction,5
fear,5
remain,5
however,4
completely,4
know,4
sphere,4
feeling,4
expanse,4
guide,4
jewels,4
recall,4
rays,4
flowing,4
purity,4
unable,4
causes,4
stage,4
cloudless,4
karma,4
meditate,4
master,4
gradually,4
sources,4
force,4
begins,4
maintain,4
key,4
becomes,4
born,4
much,4
well,4
enter,4
perfect,4
slightest,4
aspirations,4
practice,4
embodiment,4
friend,4
future,4
lower,4
bardos,4
bodhisattvas,4
clearly,4
breath,4
empowerment,4
times,4
resting,4
throughout,4
recognizing,4
buddhahood,4
train,4
non,4
crucial,4
vajra,4
beyond,4
present,4
call,4
come,4
hrīḥ,4
conditioned,4
illusory,4
cease,4
recognize,4
directly,4
enlightenment,4
listen,4
experiences,4
qualities,4
radiance,4
whatever,3
sleep,3
awakening,3
bring,3
sudden,3
crown,3
right,3
unfold,3
let,3
family,3
vows,3
appears,3
descends,3
look,3
simply,3
unfolds,3
inseparably,3
mental,3
him,3
boundless,3
lead,3
transference,3
names,3
deities,3
sounds,3
conditions,3
